,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
196,2024-03-28,11.19,11.5,11.13,11.35,11.35,2567200,BMBL
197,2024-04-01,11.42,11.42,11.185,11.31,11.31,2025900,BMBL
198,2024-04-02,11.22,11.29,11.06,11.14,11.14,1667700,BMBL
199,2024-04-03,11.05,11.23,11.03,11.22,11.22,1143700,BMBL
200,2024-04-04,10.86,11.23,10.8,10.81,10.81,4507500,BMBL
201,2024-04-05,10.71,10.75,10.5,10.53,10.53,3376500,BMBL
202,2024-04-08,10.57,10.87,10.51,10.6,10.6,2671000,BMBL
203,2024-04-09,10.66,11.135,10.635,10.97,10.97,3437100,BMBL
204,2024-04-10,10.7,10.955,10.51,10.93,10.93,3283800,BMBL
205,2024-04-11,10.99,11.005,10.57,10.92,10.92,2370600,BMBL
206,2024-04-12,10.88,10.93,10.47,10.53,10.53,2700600,BMBL
207,2024-04-15,10.46,10.59,10.06,10.12,10.12,2489600,BMBL
208,2024-04-16,10.02,10.26,9.99,10.04,10.04,2422400,BMBL
209,2024-04-17,10.09,10.27,10.01,10.1,10.1,1726400,BMBL
210,2024-04-18,10.1,10.325,9.94,10.24,10.24,1795700,BMBL
211,2024-04-19,10.18,10.3,10.07,10.18,10.18,2040900,BMBL
212,2024-04-22,10.27,10.635,10.175,10.35,10.35,4010300,BMBL
213,2024-04-23,10.26,10.54,10.17,10.19,10.19,2180000,BMBL
214,2024-04-24,10.15,10.5,10.095,10.44,10.44,2881300,BMBL
215,2024-04-25,10.27,10.645,10.105,10.55,10.55,3178400,BMBL
216,2024-04-26,10.54,10.7,10.4,10.49,10.49,1694600,BMBL
217,2024-04-29,10.59,10.66,10.29,10.36,10.36,1655500,BMBL
218,2024-04-30,10.29,10.29,9.93,10.1,10.1,2803700,BMBL
219,2024-05-01,10.12,10.36,10.01,10.12,10.12,1974400,BMBL
220,2024-05-02,10.22,10.35,10.08,10.16,10.16,2704000,BMBL
221,2024-05-03,10.4,10.42,10.02,10.14,10.14,3923400,BMBL
222,2024-05-06,10.25,10.53,10.175,10.48,10.48,3662100,BMBL
223,2024-05-07,10.51,10.6,10.285,10.3,10.3,3160900,BMBL
224,2024-05-08,10.0,10.365,9.83,10.27,10.27,6013600,BMBL
225,2024-05-09,11.7,12.34,10.51,11.45,11.45,10381900,BMBL
226,2024-05-10,11.77,11.85,11.22,11.45,11.45,4974600,BMBL
227,2024-05-13,11.57,11.98,11.44,11.51,11.51,4216800,BMBL
228,2024-05-14,11.68,12.08,11.62,11.98,11.98,3328000,BMBL
229,2024-05-15,12.16,12.16,11.715,11.97,11.97,3626500,BMBL
230,2024-05-16,11.93,12.2,11.837,12.13,12.13,2517500,BMBL
231,2024-05-17,12.05,12.35,11.93,12.3,12.3,3477300,BMBL
232,2024-05-20,12.24,12.49,12.02,12.21,12.21,2861300,BMBL
233,2024-05-21,12.12,12.295,11.96,12.02,12.02,2465400,BMBL
234,2024-05-22,11.93,12.1,11.78,11.93,11.93,1558800,BMBL
235,2024-05-23,11.93,12.01,11.34,11.44,11.44,1688000,BMBL
236,2024-05-24,11.53,11.56,11.363,11.47,11.47,2604200,BMBL
237,2024-05-28,11.53,11.79,11.45,11.56,11.56,1730900,BMBL
238,2024-05-29,11.29,11.415,11.23,11.37,11.37,1333500,BMBL
239,2024-05-30,11.44,11.565,11.231,11.43,11.43,1773100,BMBL
240,2024-05-31,11.45,11.72,11.41,11.7,11.7,1673400,BMBL
241,2024-06-03,11.82,11.96,11.61,11.84,11.84,1453000,BMBL
242,2024-06-04,11.68,12.03,11.665,11.81,11.81,1563300,BMBL
243,2024-06-05,11.85,11.91,11.6,11.69,11.69,1299800,BMBL
244,2024-06-06,11.58,11.81,11.53,11.62,11.62,1195800,BMBL
245,2024-06-07,11.42,11.539,11.21,11.22,11.22,1861100,BMBL
246,2024-06-10,11.1,11.11,10.86,10.98,10.98,3565300,BMBL
247,2024-06-11,10.82,10.98,10.71,10.92,10.92,1880300,BMBL
248,2024-06-12,11.18,11.38,10.8,10.92,10.92,1998200,BMBL
249,2024-06-13,10.9,10.91,10.61,10.75,10.75,4297000,BMBL
250,2024-06-14,10.6,10.8,10.511,10.75,10.75,1892600,BMBL
